-hood ,/suff./@狀態;,/suff./@身分;
smear ,/v./@誹謗;,/vt./@塗抹;,/vt./@弄髒;,/n./@汙跡;,/n./@誹謗;
smell ,/v./@嗅;
smelt ,/v./@熔煉;
smile ,/v./@微笑;,/n./@微笑;
smirk ,/v./@傻笑;,/n./@傻笑;
smite ,/v./@打擊;,/v./@重擊;,/v./@毀滅;
smoke ,/n./@煙;,/v./@冒煙;,/v./@抽@煙;
snack ,/n./@快餐;,/n./@小吃;
snafu ,/n./@混亂;,/v./@混亂;
snail ,/n./@蝸牛;
snake ,/n./@蛇;
snark ,/vt./@諷刺;,/vt./@嘲諷;
sneak ,/v./@溜;,/v./@鬼鬼祟祟地做;
sneer ,/v./@嘲笑;,/v./@冷笑;,/vt./@譏諷;
sniff ,/v./@嗅;,/v./@聞;
snort ,/v./@輕蔑地發出哼聲;
snuff ,/v./@掐滅;,/v./@撲滅;
sober ,/adj./@清醒的;
solar ,/adj./@太陽的;
solid ,/n./@固體;
solve ,/v./@解決;
sonde ,/n./@探空火箭;,/n./@探空氣球;,/n./@地下探测仪;,/n./@水下探测仪;
sonic ,/adj./@聲音的;,/adj./@聲波的;,/adj./@音速的;,/adj./@聲速的;
sooth ,/adj./@眞實的;
sorry ,/n./@抱歉;,/adj./@悲傷的;
sound ,/n./@聲音;
space ,/n./@空間;,/n./@太空;,/v./@分隔;,/v./@間隔;
spade ,/n./@鏟子;,/n./@鐵鍬;,/n./@黑桃;
spank ,/v./@拍擊;,/vt./@打屁股;
spare ,/v./@空閑;
spark ,/n./@火星;
spasm ,/n./@痙攣;
spawn ,/n./@卵;,/v./@產卵;
speak ,/v./@說;,/v./@講;
spear ,/n./@矛;,/n./@槍;,/vt./@用矛刺;
speck ,/n./@斑點;,/n./@汙點;,/n./@瑕疵;,/n./@鏽斑;
spect ,/v./@看;
speed ,/n./@速度;
spend ,/v./@消耗;,/v./@花費;
sperm ,/n./@精子;,/n./@精液;
spicy ,/adj./@辛辣的;
spike ,/n./@長釘;,/v./@刺穿;,/v./@釘;,/v./@阻止;
spill ,/v./@溢出;,/v./@灑落;
spine ,/n./@脊柱;
spire ,/n./@尖頂;
spite ,/n./@惡意;
splay ,/v./@張開;
split ,/v./@分裂;,/v./@劈;
spoil ,/v./@毀掉;,/v./@溺愛;
spoof ,/v./@哄騙;
spook ,/n./@鬼;,/v./@驚嚇;
spoon ,/n./@湯匙;
sport ,/n./@運動;,/v./@嘻戯;,/v./@玩耍;
spout ,/v./@噴射;,/n./@噴口;,/v./@噴出;
spray ,/n./@噴霧;,/v./@噴射;
spree ,/n./@狂歡;
spurn ,/v./@唾棄;,/v./@摒棄;
spurt ,/v./@冲刺;,/v./@喷出;,/v./@迸发;
sputa ,/redirected./@target="sputum";
squat ,/v./@蹲;
squid ,/n./@鱿鱼;
stack ,/n./@堆;
staff ,/n./@員工;
stage ,/n./@舞臺;,/n./@階段;,/vt./@上演;,/vt./@舉行;,/vt./@發動;,/vt./@籌劃;
stain ,/n./@汙點;
stake ,/n./@柱;,/n./@賭註;,/n./@樁;,/n./@火刑柱;,/n./@利害關係;,/n./@風險;
stale ,/adj./@陳舊的;
stall ,/v./@拖延;,/n./@貨攤;,/n./@畜欄;,/n./@馬廄;,/n./@小隔间;,/n./@失速;,/n./@熄火;,/n./@车位;,/v./@熄火;,/v./@失速;
stamp ,/n./@郵票;,/n./@印花;,/n./@圖章;,/n./@印戳;,/vt./@蓋章於;,/vt./@印戳於;,/vt./@貼郵票於;,/vt./@貼印花於;
stand ,/v./@站立;,/v./@忍受;,/v./@坐落;
stare ,/v./@盯;
stark ,/adj./@荒涼的;,/adj./@鲜明的;,/adj./@明顯的;,/adj./@赤裸裸的;,/adj./@僵硬的;,/adj./@严酷的;,/adj./@刻板的;
start ,/v./@開始;
stash ,/n./@藏匿處;,/vt./@貯藏;
state ,/n./@國家;,/v./@陳述;,/v./@規定;,/v./@確立;
stead ,/n./@代替;,/n./@用處;
steal ,/v./@偷;
steam ,/n./@蒸汽;,/v./@蒸;
steep ,/adj./@陡峭的;,/adj./@急劇的;,/vt./@浸泡;,/vt./@浸透;
steer ,/v./@駕駛;,/v./@操舵;
stern ,/n./@船尾;,/adj./@嚴厲的;,/adj./@堅決的;,/adj./@嚴格的;,/adj./@嚴峻的;,/adj./@苛刻的;,/adj./@堅定的;
stick ,/v./@粘貼;,/n./@枝;,/v./@紥;
stiff ,/adj./@拘謹的;,/adj./@僵硬的;,/adj./@剛強的;,/adj./@強烈的;,/adj./@生硬的;,/adj./@艱難的;,/adj./@拉緊的;
still ,/adv./@一直;,/adv./@仍然;
sting ,/v./@刺;,/v./@蟄;
stock ,/n./@儲備;,/n./@股票;
stoic ,/redirected./@target="stoical";,/n./@禁慾主義者;,/redirected./@target="Stoic";
Stoic ,/adj./@斯多葛學派的;,/n./@斯多葛學派哲學家;
stone ,/n./@石頭;
stood ,/v./@站;
stool ,/n./@凳子;,/v./@引誘;
stoop ,/v./@彎腰;
store ,/n./@商店;,/v./@貯藏;,/v./@儲備;
storm ,/n./@風暴;
story ,/n./@故事;
stove ,/n./@爐子;,/n./@火爐;
strap ,/v./@捆紥;,/n./@皮帶;
stray ,/adj./@迷路的;,/adj./@流浪的;,/adj./@零星的;,/n./@迷路者;,/n./@流浪者;,/n./@走失的家畜;,/vi./@迷路;,/vi./@走失;,/vi./@走散;,/vi./@閒逛;,/vi./@流浪;,/vi./@離題;,/vi./@偏離;,/vi./@誤入歧途;
strip ,/v./@剝奪;,/vt./@脱掉;,/vt./@脱光;,/n./@条;,/n./@狭长地带;,/n./@队服;,/n./@脱衣舞;,/vt./@除去;
strop ,/v./@磨;
stuck ,/v./@被卡住;
study ,/v./@研究;,/v./@學習;
stuff ,/n./@東西;,/n./@材料;,/v./@塞滿;
stump ,/n./@樹樁;
style ,/n./@風格;,/n./@類型;
sugar ,/n./@糖;
suite ,/n./@一套;,/n./@隨員;
sulky ,/adj./@生氣的;
sully ,/v./@玷污;,/n./@污點;,/n./@損傷;
super ,/adj./@超級的;
surge ,/n./@大浪;,/n./@洶湧澎湃;,/v./@激增;
sushi ,/n./@壽司;
swarm ,/v./@擠滿;,/n./@羣;,/n./@大群;
swear ,/v./@发誓;,/v./@咒罵;
sweat ,/n./@汗;,/v./@出汗;
sweep ,/v./@掃;,/v./@席捲;
sweet ,/adj./@甜的;
swell ,/v./@增強;,/v./@擴大;,/v./@腫脹;
swift ,/n./@快速的;
swine ,/n./@豬;
swipe ,/v./@猛擊;,/vi./@挥击;
swirl ,/n./@漩渦;,/v./@打旋;
swish ,/v./@鞭打;
Swiss ,/adj./@瑞士的;
swoon ,/v./@昏暈;
swoop ,/v./@猛撲;,/v./@俯衝;,/v./@襲擊;
sword ,/n./@劍;
syrup ,/n./@糖漿;,/n./@糖水;,/n./@果汁;
table ,/n./@桌子;,/n./@表格;
taboo ,/v./@禁忌;,/v./@禁止;,/n./@禁忌;,/adj./@禁忌的;,/adj./@忌諱的;
tacit ,/adj./@緘默的;,/adj./@不言而喻的;,/adj./@心照不宣的;,/adj./@默許的;
taiga ,/n./@針葉林區;,/n./@針葉樹林地帶;
tardy ,/adj./@緩慢的;,/adj./@遲緩的;
tarot ,/n./@塔罗牌;
taste ,/n./@味道;,/v./@品嘗;
taunt ,/v./@嘲笑;
teach ,/v./@教;
tease ,/v./@取笑;,/v./@戲弄;
teeth ,/n./@牙齒;
tempo ,/n./@速度;,/n./@節拍;
tempt ,/v./@誘惑;
tenor ,/n./@要旨;,/n./@趨向;,/n./@男高音;,/n./@次中音;,/n./@基调;
tense ,/adj./@緊張的;,/n./@時態;
terra ,/n./@大地;
terse ,/adj./@簡潔的;,/adj./@精練的;,/adj./@简短的;,/adj./@簡練的;
thank ,/v./@感謝;
tharm ,/n./@腸子;
theft ,/n./@盜竊;
their ,/adj./@他們的;
theme ,/n./@主題;
there ,/pron./@那里;
these ,/pron./@這些;
thick ,/adj./@厚的;,/adj./@濃的;
thief ,/n./@賊;
thigh ,/n./@大腿;
thine ,/adj./@你的;
thing ,/n./@事物;
think ,/v./@認爲;,/v./@想;,/v./@思考;
third ,/adj./@第三的;
thong ,/n./@皮帶;,/v./@鞭打;
thorn ,/n./@刺;,/n./@棘;,/n./@荊棘;
those ,/pron./@那些;
three ,/adj./@三個;
threw ,/v./@扔@<throw>;
throb ,/v./@悸動;,/n./@悸動;
throw ,/v./@扔;
thumb ,/n./@拇指;
thump ,/v./@重擊;
thyme ,/n./@百里香;
tiara ,/n./@女式冕狀頭飾;,/n./@三重冕;
times ,/n./@次數;
timid ,/adj./@膽怯的;,/adj./@靦腆的;,/adj./@害羞的;
tippy ,/adj./@不安定的;,/adj./@容易傾斜的;
tired ,/adj./@疲憊的;,/adj./@厭倦的;
title ,/n./@標題;,/n./@頭銜;,/n./@冠軍;
toast ,/n./@土司;
today ,/n./@今天;,/n./@今日;
token ,/n./@象徴;,/n./@代幣;,/n./@記號;,/n./@紀念章;,/n./@表徴;
Tokyo ,/n./@東京;
tooth ,/n./@牙;
topic ,/n./@主題;
torch ,/n./@火炬;,/n./@手電筒;
torso ,/n./@軀幹;,/n./@軀幹雕像;
total ,/adj./@總的;
totem ,/n./@圖騰;
touch ,/v./@觸摸;
tough ,/adj./@艱難的;
towel ,/n./@毛巾;
tower ,/n./@塔;
toxic ,/adj./@有毒的;
trace ,/v./@追蹤;
track ,/n./@軌道;,/n./@路徑;,/n./@铁轨;,/n./@跑道;,/n./@车辙;,/n./@足迹;,/n./@行踪;,/n./@履带;
tract ,/n./@道;,/n./@冊子;
trade ,/n.//v./@交易;
trail ,/v./@追蹤;,/n./@小徑;
train ,/n./@火車;
trait ,/n./@特點;,/n./@特性;
trash ,/n./@垃圾;
trawl ,/v./@拖網;,/v./@拖網捕魚;
tread ,/v./@踏;,/v./@踩;,/n./@胎面;,/n./@鞋底;,/n./@踏;
treat ,/vt./@對待;,/v./@醫治;
trend ,/n./@趨勢;,/n./@趨向;,/n./@傾向;,/n./@走向;,/vi./@趨向;,/vi./@傾向;
trial ,/n./@試驗;,/n./@嘗試;
trick ,/n./@詭計;,/n./@竅門;,/v./@欺詐;,/v./@哄騙;
trite ,/adj./@平庸的;,/adj./@陳腐的;,/adj./@老套的;,/adj./@老生常談的;
troll ,/v./@輪唱;,/v./@拖餌釣魚;,/n./@輪唱;,/n./@拖餌釣魚;
troop ,/n./@軍隊;
trope ,/n./@轉義;,/n./@比喻;,/n./@隱喻;,/n./@寓意;,/n./@說法;,/n./@修辭;,/n./@基調;,/n./@橋段;
trout ,/n./@鱒魚;,/n./@鮭魚;,/n./@鱒魚肉;,/n./@鮭魚肉;,/n./@老傢伙;
truck ,/n./@卡車;
trump ,/n./@王牌;
trunk ,/n./@樹幹;,/n./@行李箱;,/n./@象鼻;,/n./@軀幹;,/n./@大箱子;
trust ,/v./@相信;
truth ,/n./@眞理;,/n./@事實;
tryst ,/n./@幽會;,/n./@約會;
tumor ,/n./@肿瘤;
tutor ,/n./@導師;
twerp ,/n./@蠢人;
twice ,/adv./@兩次;
twirl ,/v./@旋轉;,/v./@轉動;
twist ,/v./@轉動;,/v./(使)@纏繞;,/v./@歪曲;,/v./@彎曲;,/v./@扭轉;,/v./@轉變;
ulcer ,/n./@潰瘍;
ultra ,/adj./@極端的;,/adj./@過分的;
unary ,/adj./@一元的;
under ,/prep./@在下方;
undue ,/adj./@不需要的;,/adj./@過分的;
unify ,/v./@聯合;
union ,/n./@聯盟;,/n./@工會;,/n./@協會;
unite ,/v./@聯合;,/v./@統一;,/v./@团结;
unity ,/n./@團結;,/n./@一致;
untie ,/v./@解开;
until ,/conj./@直到;
upend ,/vt./@倒立;,/vt./@倒置;,/vt./@顛倒;
upper ,/adj./@較髙的;,/adj./@上部的;
upset ,/v./@攪亂;,/v./@打亂;
urban ,/adj./@城市的;
usage ,/n./@使用;,/n./@用法;
usual ,/adj./@經常;,/adj./@尋常;
usurp ,/v./@篡奪;
utter ,/vt./@发出;,/v./@表達;,/v./@发射;
vague ,/adj./@模糊的;,/adj./@不明確的;,/adj./@含糊的;,/adj./@不清楚的;
valid ,/adj./@有效的;
valor ,/n./@英勇;,/n./@勇猛;
value ,/n./@價値;
valve ,/n./@閥;
vapid ,/adj./@無味的;,/adj./@乏味的;,/adj./@枯燥的;
vault ,/n./@貯藏室;
venom ,/n./@毒液;,/n./@惡意;
verge ,/vt./@瀕臨;,/n./@邊緣;
versa ,/adj./@反的;
verse ,/n./@詩篇;
vibes ,/redirected./@target="vibe";
video ,/n./@視頻;
vigor ,/n./@精力;,/n./@活力;,/n./@氣勢;,/n./@魄力;,/n./@元氣;,/n./@強健;,/n./@茁壯;
villa ,/n./@別墅;
viper ,/n./@毒蛇;
virus ,/n./@病毒;
vital ,/adj./@重要的;,/adj./@必不可少的;,/adj./@必要的;,/adj./@决定性的;,/adj./@至关重要的;,/adj./@生气勃勃的;,/adj./@充满生机的;
vivid ,/adj./@生動的;
vocal ,/adj./@嗓音的;,/adj./@聲音的;,/adj./@元音的;,/adj./@聲樂的;,/adj./@濁音的;
vodka ,/n./@伏特加酒;
vogue ,/n./@流行;,/n./@時尚;
voice ,/n./@聲音;
vomit ,/vt./@嘔吐;,/v./@吐出;
voter ,/n./@投票人;,/n./@選舉人;
vouch ,/vt./@担保;,/vt./@保证;,/vt./@证明;
vowel ,/n./@元音;,/n./@元音字母;
wagon ,/n./@貨車;
waive ,/vt./@放棄;,/vt./@撤回;,/vt./@擱置;
wanna ,/v./@想要;
waste ,/v./@浪費;
watch ,/v./@觀看;,/v./@觀察;,/n./@手表;
water ,/n./@水;
weary ,/adj./@疲倦的;
weave ,/v./@編織;
wedge ,/v./@楔入;,/n./@楔子;
weird ,/adj./@奇怪的;
Welsh ,/adj./@威爾斯的;,/adj./@威爾斯人的;,/adj./@威爾斯語的;,/n./@威爾斯人;,/n./@威爾斯語;
whack ,/v./@重擊;
whale ,/n./@鯨魚;
wharf ,/n./@碼頭;,/n./@停泊處;
wheat ,/n./@小麥;
wheel ,/n./@車輪;,/v./@轉動;
whelm ,/v./@淹沒;,/v./@覆蓋;,/v./@壓倒;
where ,/wh.//pron./@哪里;
which ,/pron./@哪一個;
whiff ,/v./@吸;,/v./@喷出;
while ,/conj./@當@...時;
whine ,/v./@发牢騷;,/v./@抱怨;
whirl ,/vt./@旋轉;,/n./@旋轉;,/n./@迴旋;,/vi./@疾馳;
whirr ,/v./@呼呼;
white ,/n./@白色;,/adj./@白色的;
whole ,/adj./@整;
whoop ,/v./@大叫;
whore ,/n./@妓女;,/n./@娼妓;,/v./@賣淫;
whose ,/wh.//pron./@誰的;
widen ,/v./@加寬;,/v./@擴大;
widow ,/n./@寡婦;
width ,/n./@寬度;
wield ,/v./@使用;,/v./@行使;,/v./@揮舞;
wince ,/v./@畏縮;
witch ,/n./@女巫;
woman ,/n./@女人;
women ,/n./@女人;
wonky ,/adj./@搖晃的;,/adj./@搖搖欲墜的;,/adj./@靠不住的;,/adj./@有毛病的;,/adj./@歪斜的;,/adj./@颤巍巍的;
woozy ,/adj./@虛弱的;,/adj./@微醉的;
world ,/n./@世界;
worry ,/v./@擔心;
worse ,/adj./@更差的;,/adj./@更壞的;
worst ,/adj./@最差的;,/adj./@最壞的;
would ,/aux./<will的過去式>@會;
wound ,/v./@使受傷;,/n./@傷口;
wrath ,/n./@憤怒;
wreak ,/v./@發洩;,/v./@報仇;
wreck ,/v./@破壞;,/n./@失事;,/n./@殘骸;,/n./@沉船;,/n./@废人;,/vt./@毀壞;,/vt./@毁掉;
wring ,/v./@擰;,/v./@絞;
wrist ,/n./@手腕;
write ,/v./@寫;
wrong ,/adj./@錯誤的;,/adv./@錯誤地;,/v./@冤枉;,/v./@誹謗;
xenic ,/adj./@異類的;,/adj./@氙的;
xenon ,/n./@氙;
Xhosa ,/n./@科薩人;,/n./@科薩語;
yacht ,/n./@快艇;,/n./@遊船;
yearn ,/v./@渴望;,/v./@向往;,/v./@思念;
yield ,/vt./@屈服;,/v./@出產;,/v./@放棄;,/n./@產量;,/n./@收益;
yodel ,/v./@用真假嗓音互換地唱;
young ,/adj./@年輕的;
yours ,/pron./@你的;
youth ,/n./@青春;
zebra ,/n./@斑馬;
