-hood ,/suff./@狀態;,/suff./@身分;
brute ,/n./@畜生;,/n./@獸;,/adj./@畜生般的;,/adj./@殘忍的;
budge ,/vi./@挪動;,/vi./@讓步;
build ,/v./@建築;
built ,/v./@建造@<build>;
bulge ,/n./@腫脹;,/n./@凸塊;
bully ,/v./@欺負;,/n./@惡霸;
bunch ,/n./@束;
burka ,/n./@布爾卡;,/n./@伊斯蘭婦女穿的長袍;
burst ,/vi./@爆炸;
bushy ,/adj./@濃密的;
busty ,/adj./@大胸脯的;,/adj./@胸部豐滿的;
cabin ,/n./@小木屋;,/n./@房舱;,/n./@座舱;
cable ,/n./@電纜;,/n./@電報;
cache ,/n./@電腦髙速緩衝存儲器;
cadet ,/n./@軍校學生;,/n./@候補軍官;,/n./@候補警官;,/n./@見習生;
camel ,/n./@駱駝;
canal ,/n./@運河;,/n./@渠道;
candy ,/n./@糖果;
carer ,/n./@看護者;
cargo ,/n./@貨物;
carol ,/n./@頌歌;,/v./@歡樂地唱;
carry ,/v./@搬運;,/v./@攜帶;
catch ,/v./@抓;,/v./@獲;
cater ,/v./@迎合;,/v./@投合;
caulk ,/vt./@填隙;,/vt./@捻縫;,/n./@填隙物;
cause ,/v./@導致;
cavil ,/vi./@挑剔;,/vi./@吹毛求疵;
cease ,/v./@停止;
chain ,/n./@鎖鏈;,/n./@链条;,/n./@束缚;,/vt./@用链条拴住;
chair ,/n./@椅子;
chalk ,/n./@粉筆;
champ ,/vt./@大聲地咀嚼;,/vt./@咯咯地咬;,/vt./@咔嚓咔嚓地咀嚼;
chant ,/n./@聖歌;,/n./@贊美詩;,/v./@唱;,/v./@詠唱;
charm ,/n./@吸引;,/v./@迷惑;
chart ,/n./@圖表;,/n./@海圖;
chase ,/v./@追捕;
cheap ,/adj./@便宜的;
cheat ,/v./@欺騙;,/v./@作弊;
check ,/v./@檢查;
cheek ,/n./@臉頰;
cheer ,/v./@振作;
chess ,/n./@象棋;
chest ,/n./@胸膛;,/n./@櫃子;
chick ,/n./@小鷄;
chief ,/adj./@首領;,/adj./@主要的;
child ,/n./@孩子;
chili ,/n./@辣椒;,/n./@紅辣椒;
chill ,/v./@變冷;,/v./@冷卻;
chime ,/v./@鳴響;,/n./@鐘聲;,/n./@和諧;
chimp ,/n./@黑猩猩;
china ,/n./@陶瓷;
China ,/n./@中國;
chirp ,/n./@吱喳聲;
chive ,/n./@香蔥;
choke ,/v./@噎;
chump ,/n./@大肉片;,/n./@笨蛋;
chunk ,/n./@大塊;,/n./@厚塊;,/n./@大部分;
churn ,/v./@攪拌;,/v./@攪動;
cider ,/n./@蘋果酒;,/n./@蘋果汁;
cigar ,/n./@雪茄;
cinch ,/v./@緊握;
claim ,/v./@聲稱;
clash ,/n./@衝突;,/n./@碰撞;
clasp ,/v./@緊抱;,/n./@釦子;,/vt./@紧握;
class ,/n./@課;
clean ,/adj./@干凈的;
clear ,/v./@清理;
cleft ,/n./@裂縫;,/adj./@分裂的;
clerk ,/n./@職員;,/n./@店員;,/n./@辦事員;
click ,/n.v./@點擊;
cliff ,/n./@懸崖;
climb ,/v./@爬;,/v./@攀;
cling ,/v./@堅持;,/v./@粘住;,/v./@依附;
cloak ,/n./@斗篷;
clock ,/n./@鍾;
clone ,/v./@無性繁殖;
close ,/v./@關閉;,/v./@結束;
cloth ,/n./@布;
cloud ,/n./@雲;
clout ,/n./@權力;,/n./@势力;,/n./@影响力;,/n./@重击;,/vt./@重击;
clown ,/n./@小醜;
coach ,/n./@教練;,/n./@長途公共汽車;,/v./@訓練;,/v./@培訓;,/v./@輔導;,/n./@火车车厢;
coast ,/n./@海岸;
cocky ,/adj./@自大的;
colon ,/n./@冒號;,/n./@結腸;,/n./@科隆;
color ,/redirected./@target="colour";
comet ,/n./@彗星;
comfy ,/adj./@舒服的;
comic ,/adj./@滑稽的;
comma ,/n./@逗號;,/n./@停頓;
conga ,/n./@康茄舞;
coral ,/n./@珊瑚;
corny ,/adj./@穀類的;,/adj./@陳腔濫調的;,/adj./@陳腐的;,/adj./@老套的;,/adj./@老掉牙的;,/adj./@平淡乏味的;,/adj./@粗野的;
couch ,/n./@躺椅;,/n./@長沙發;
cough ,/v./@咳嗽;,/n./@咳嗽;
could ,/aux./<can的過去式>@能;
count ,/v./@數;,/v.//n./@計算;
court ,/n./@法庭;
cover ,/n./@封面;,/v./@覆蓋;
covet ,/vt./@贪求;
cower ,/v./@退縮;,/v./@膽怯;,/v./@畏縮;
crack ,/n./@裂縫;,/v./@破裂;,/vi./@爆裂;,/vt./@使霹啪作響;,/vt./@敲開;,/vt./@砸開;
craft ,/n./@工藝;,/n./@手藝;
cramp ,/v./@痙攣;
crane ,/v./@伸長;
