ram ,/n./@公羊;,/n./@夯锤;,/vt./@猛撞;,/vt./@硬塞;
rat ,/n./@耗子;,/n./@老鼠;
raw ,/adj./@生的;
ray ,/n./@射綫;
red ,/adj./@紅色的;,/n./@紅;
rib ,/n./@肋骨;,/n./@肋條;
rid ,/vt./(使)@擺脫;
rim ,/n./@邊;,/n./@邊緣;
rip ,/v./@撕;,/v./@鋸;
rob ,/v./@搶劫;
rod ,/n./@棒;,/n./@桿;,/n./@竿;,/n./@槓;,/n./@枝條;,/n./@權力;
rot ,/v./@腐爛;,/v./@枯朽;,/v./@腐朽;,/v./@腐敗;
row ,/n./@排;,/n./@列;,/v./@划@船;
rub ,/v./@擦;,/v./@摩擦;
rug ,/n./@小地毯;
run ,/v./@跑;
rut ,/n./@發情期;,/n./@性衝動;,/n./@凹槽;,/n./@慣例;
rye ,/n./@黑麦;,/n./@黑麦田;,/n./@黑麦酒;
sad ,/adj./@悲傷的;
sag ,/adj./@松弛;,/vi./@下垂;,/vi./@萎靡;
sap ,/n./@精力;,/n./@樹液;,/n./@元氣;,/n./@活力;
saw ,/v./@鋸;,/v./@看見;,/n./@鋸子;
say ,/v./@說;
sea ,/n./@海;,/n./@海洋;
see ,/v./@看;,/v./@看見;
set ,/v./@設立;,/v./@放置;,/n./@集合;
sew ,/v./@縫紉;
sex ,/n./@性;
she ,/pron./@她;
shy ,/adj./@害羞的;
sin ,/n./@罪惡;
sip ,/v./@抿;
sir ,/n./@先生;
sit ,/v./@坐;
six ,/adj./@六;
sky ,/n./@天;,/n./@天空;
sob ,/v./@啜泣;
son ,/n./@兒子;
sow ,/v./@播種;,/v./@散佈;,/n./@母豬;
soy ,/n./@醬油;
spy ,/n./@間諜;
suc ,/pref./@往下;
sue ,/v./@控告;
sum ,/n./@綜合;
sun ,/n./@太陽;
tab ,/n./@標簽;,/n./@制表;
tag ,/n./@標簽;,/n./@附屬物;,/v./@尾隨;,/vt./@标记;,/vt./@跟踪;,/n./@电子跟踪器;,/n./@警句;,/n./@标识符;
tap ,/v./@叩;,/v./@竊聽;
tar ,/n./@瀝青;,/n./@柏油;
tat ,/v./@梭織;
tax ,/n./@稅;
tea ,/n./@茶;
ten ,/adj./@十;
the ,/art./@@特指定冠詞;
tie ,/v./@係;,/n./@領帶;
tin ,/n./@錫;
tip ,/n./@小費;,/n./@傾覆;,/n./@尖端;
toe ,/n./@脚趾;
