breast ,/n./@乳房;,/n./@胸部;
breath ,/v./@呼吸;
breeze ,/n./@微風;
bridge ,/n./@橋;
bridle ,/n./@韁繩;,/v./@約束;,/v./@抑制;,/v./@控制;
bright ,/adj./@明亮的;,/adj./@聰明的;
Briton ,/n./@英國人;
broach ,/v./@鑽孔;,/vt./@引入;,/vt./@启用;
broken ,/adj./@破碎的;,/adj./@燬壞的;
bronze ,/n./@青銅;,/adj./@青銅製的;,/adj./@青銅色的;,/adj./@古銅色的;
brooch ,/n./@胸針;,/n./@領針;
browse ,/v./@瀏覽;
bruise ,/n./@擦傷;,/n./@瘀傷;,/n./@青腫;,/n./@挫傷;
brutal ,/adj./@殘忍的;,/adj./@野蠻的;
bubble ,/n./@氣泡;,/n./@泡泡;
bucket ,/n./@桶;
buckle ,/n./@帶釦;,/n./@搭釦;,/vt./@扣上;,/vt./@扣住;
budget ,/n./@預算;
budgie ,/n./@虎皮鸚鵡;,/n./@相思鸚鵡;
buffer ,/n./@緩衝器;,/n./@減震器;,/n./@緩衝物;,/n./@緩衝存儲器;,/n./@緩衝區;
buffet ,/n./@自助餐;
bullet ,/n./@子彈;
bumper ,/n./@保险杠;,/adj./@丰收的;,/adj./@特大的;
bundle ,/n./@捆;
bunker ,/n./@掩體;,/n./@地堡;,/n./@沙坑;
burden ,/n./@重負;
bureau ,/n./@局;,/n./@司;,/n./@辦公室;
burial ,/n./@葬禮;
bushel ,/n./@蒲式耳;,/n./@一蒲式耳的容器;,/n./@八加侖的量;
butler ,/n./@男管家;,/n./@僕役長;
butter ,/n./@黃油;
button ,/n./@按鈕;,/n./@紐扣;
buyout ,/n./@控股权收购;,/n./@收購;
bypass ,/v./@繞開;,/v./@忽視;
Cabala ,/redirected./@target="Kabbalah";
cackle ,/v./@饒舌;,/v./@喋喋不休;
caliph ,/n./@哈里发@(穆斯林国家的统治者);
camera ,/n./@照相機;
campus ,/n./@校園;
Canada ,/n./@加拿大;
cancel ,/v./@取消;
cancer ,/n./@癌症;
